Original Keyword,Processed Keyword
bicarbonate,
bindarit,
biomarker,biomarkers
Biomarker,biomarkers
biomarkers,
Biomarkers,biomarkers
Bioprocessing,
bitter taste receptors,
Blebbistatin,
Bleomycin,
blood-air barrier hyperpermeability,hyperpermeability
Blood-borne cells,
blood-brain barrier,
BLT1,
BLT2,
BML-111,
BMP signaling in endothelial cells,
BMP9,
Bone morphogenetic protein,bone morphogenetic proteins
bone morphogenetic proteins,
bovine serum albumin nanoparticles,
bradykinin,
brain injury,
bronchiectasis,
Bronchoalveolar lavage (BAL),BALF
bronchoalveolar lavage fluid,BALF
bronchopulmonar dysplasia,bronchopulmonary dysplasia
bronchopulmonary dysplasia,
Btk,
Burn,burn
burn,
burns,burn
C16,
C23,
C3a,
C3a-C3aR,
C3G,
C5a,
C5aR1 inhibition,
Ca2+,
c-Abl,c-Abl
C-Abl,c-Abl
c-abl gene,c-Abl
c-Abl tyrosine kinase,c-Abl
Cadherin,cadherin
cadherin,
Calcineurin/NFATc3,
calcitonin gene-related peptide,
Calcium,calcium
calcium,
calcium channels,
Calcium signal,
Calpain,
cAMP,
cancer,
capillary endothelial permeability,permeability
capillary leak,
Capillary permeability,permeability
Capillary Permeability,permeability
captopril,
carboxyl stress,
Cardamonin,
cardiopulmonary bypass,
CARDS,ALI/ARDS
caspase 3,caspase-1/caspase-3/caspase-11
caspase-1,caspase-1/caspase-3/caspase-11
Caspase-1,caspase-1/caspase-3/caspase-11
Caspase-11,caspase-1/caspase-3/caspase-11
caspase-11,caspase-1/caspase-3/caspase-11
caspase-3,caspase-1/caspase-3/caspase-11
CaSR,
catalase,
catenin,
cathepsin B,
Cathepsin G,
cationic polymers,cationic polymer
Cav-1,caveolin-1
caveolae,caveolin-1
caveolae (caveolin-1),caveolin-1
caveolin-1,
Caveolin-1,caveolin-1
CCL2,
CCL-2,CCL2
CCL25,
CCR11,
CD163,
CD200-CD200R,
CD26,
CD31,
CD40L,
CD41,
CD54,
Cdc42,
cdc42-deficient,
CDH5,
Cdk2,
CDKN1B,
Celigo,
cell adhesion,
Cell apoptosis,
cell biology,
cell culture,
cell culture model for lung transplantation,
Cell cultures,
Cell cytoskeleton,
Cell damage,
cell junction,
cell mechanics,
cell migration,
cell permeability,permeability
Cell proliferation,
Cell signalling,
Cell survival,
cell therapy,
Cell therapy,cell therapy
cell transformation,
cell transmigration,
Cell transplantation,
cell-derived extracellular vesicles,
cell-free microRNAs,
cells,
Cellular adhesion molecules,
Cellular bioenergetics,
Ceramide,
Chaperone heat shock protein 90,
chemokine,chemokines
chemokine receptors,
chemokines,
Chemokines,chemokines
chemotaxis,
cholin transporter-like protein 2,
chronic bronchitis,
chronic obstructive pulmonary disease,chronic obstructive pulmonary disease (COPD)
chronic obstructive pulmonary disease (COPD),
chronic rhinosinusitis,
cigarette smoke,
Ciliary arteries,
Circ_0054633,
circEXOC5,
circKlhl2,
circPalm2,
circulating endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Circulating endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Circulatory extracellular vesicles,
circWDR33,
CIRP,
Cisatracurium,
citrullinated histone H3,
citrulline,
C-Jun,
CLASP2,
Class IIA HDACs inhibition,
clathrin-mediated endocytosis,
claudin,claudins
Claudin-18,
Claudin5,claudin-5
Claudin-5,claudin-5
claudin-5,
claudins,
Clinical trial,
Clinical trials,Clinical trial
clodronate,
clopidogrel,
CLP,
CLP sepsis,
CO2-removal,
coagulation,
Coagulation,coagulation
coagulation endothelial cell,coagulation
coagulation/fibrinolysis,coagulation
coagulopathy,coagulation
co-culture,
cofilin-1,
co-inhibitory receptor,
collapse,
Community-acquired pneumonia,
compartmentalization,
compartmentalized cAMP,
complement,
Complement,complement
complement activation,
concentration-sensitive sodium channel,
Connexin40,
connexins,
COPD,chronic obstructive pulmonary disease (COPD)
Cordyceps militaris (CM),
coronavirus,COVID-19/SARS-CoV-2/Coronavirus
coronavirus disease 2019,COVID-19/SARS-CoV-2/Coronavirus
cortactin,
Cortactin,cortactin
cortical actin,
CoV-2,
COVID acute respiratory distress syndrome,COVID-19/SARS-CoV-2/Coronavirus
COVID-19,COVID-19/SARS-CoV-2/Coronavirus
COVID-19 complications,COVID-19/SARS-CoV-2/Coronavirus
COVID-19 disease,COVID-19/SARS-CoV-2/Coronavirus
COVID-19 murine model,COVID-19/SARS-CoV-2/Coronavirus
COVID-19 pro-inflammatory cytokines,COVID-19/SARS-CoV-2/Coronavirus
Coxsackievirus A2,
CpG DNA,
cre/loxp,
Cre/Loxp technique,cre/loxp
critical care,
Crocin,
crosstalk,
c-Src,
C-terminal binding protein 2 (CTBP2),
C-type natriuretic peptide,
curcumin,
C-X3-C motif chemokine ligand 1,
CX3CL1-CX3CR1 axis,
Cx40,Connexin40
CXC chemokines,
cxcl3,
CXCR2,
CXCR3,
cyclase,
Cyclic AMP,cAMP
cyclic stretch,
CYP1B1,
cystic fibrosis,
Cytochrome P450,
cytokine,cytokines
Cytokine,cytokines
cytokine release syndrome,
cytokine storm,
Cytokine storm,cytokine storm
Cytokines,cytokines
cytokines,
Cytoprotection,
cytoskeletal dynamics,
cytoskeletal rearrangement,
Cytoskeleton,cytoskeleton
cytoskeleton,
DAD,
Damage -associated molecular patterns,DAMPs
Damage-associated molecular patterns,DAMPs
DAMP,DAMPs
DAMPs,
danger-associated molecular pattern,DAMPs
dauricine,
decursin,
Decursinol angelate,
Dehydrozingerone,
Desialylation,
DEX,dexamethasone
dexamethasone,
Dexamethasone,dexamethasone
Dexamethasone delivery,
Dexamethasone nanoparticles,
dexmedetomidine,
diagnosis,
diannexin,
Differentiation,
diffuse alveolar damage score,
dimethylarginine dimethylaminohydrolase II,
Diosmetin,
Dipeptidyl peptidase 4,dipeptidyl peptidase-4
dipeptidyl peptidase-4,
Direct lung injury,
disseminated intravascular coagulation (DIC),
disseminated intravascular microthrombosis (DIT),
DJ-1,
DNA methylation,
DNA repair,
Donor variability,
DPP4,dipeptidyl peptidase-4
DPP4 inhibitor,
drug delivery,
Drug delivery,drug delivery
drug targeting,
Dual-Specificity Phosphatases,
DUSP4,
dysfunction,
eCIRP,
ECIS,
edaravone,
Edema,
edema,
EGFR,
Elastance,
Elastase,
electric cell-substrate impedance sensing,
electron microscopy,
ELISA,
ELK3,
embryonic development,
emphysema,
Endocan,
endocytosis,
endoglin (Eng),
EndoMT,
endoplasmic reticulum-plasma membrane junctions,
endosome,
endothelial,ECs/HPMECs/HUVECs/MPVECs
Endothelial,ECs/HPMECs/HUVECs/MPVECs
endothelial activation,
endothelial adhesion molecules,
endothelial Barrier,ECs/HPMECs/HUVECs/MPVECs
endothelial barrier,ECs/HPMECs/HUVECs/MPVECs
Endothelial barrier,ECs/HPMECs/HUVECs/MPVECs
Endothelial barrier dysfunction,endothelial barrier dysfunction
endothelial barrier dysfunction,
Endothelial barrier function,endothelial barrier function
endothelial barrier function,
Endothelial Barrier function,endothelial barrier function
endothelial barrier regulation,
Endothelial barrier regulation,
endothelial barrier restoration,
endothelial biology,
endothelial cell,ECs/HPMECs/HUVECs/MPVECs
Endothelial cell,ECs/HPMECs/HUVECs/MPVECs
Endothelial cell (EC),ECs/HPMECs/HUVECs/MPVECs
endothelial cell barrier,ECs/HPMECs/HUVECs/MPVECs
endothelial cell barrier dysfunction,endothelial barrier dysfunction
endothelial cell dysfunction,endothelial dysfunction
Endothelial cell inflammation,
Endothelial cell injury,Endothelial damage
endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Endothelial cells,ECs/HPMECs/HUVECs/MPVECs
endothelial cells (EC),ECs/HPMECs/HUVECs/MPVECs
endothelial cells (ECs),ECs/HPMECs/HUVECs/MPVECs
Endothelial cells-derived exosome,
Endothelial damage,
Endothelial dysfunction,endothelial dysfunction
endothelial dysfunction,
Endothelial glycocalyx,endothelial glycocalyx (EG)
endothelial glycocalyx,endothelial glycocalyx (EG)
endothelial glycocalyx (EG),
endothelial growth response 2,
endothelial hyperpermeability,hyperpermeability
Endothelial mesenchymal transition,
endothelial microparticles,
endothelial niche,
endothelial nitric oxide synthase,eNOS
Endothelial nitric oxide synthase,eNOS
endothelial nitric oxide synthase uncoupling,eNOS
endothelial permeability,permeability
Endothelial permeability,permeability
Endothelial progenitor cells,endothelial progenitor cells
endothelial progenitor cells,
endothelial pyroptosis,
endothelial regeneration,
endothelial repair,
Endothelial targeting,
endothelial wound healing,
endothelial-barrier function,
endothelialization,
endothelial-to-mesenchymal transition,
Endothelial-to-mesenchymal transition,endothelial-to-mesenchymal transition
endotheliitis,
Endotheliitis,endotheliitis
endotheliopathy,
endotheliopathy-associated vascular microthrombotic disease (EA-VMTD),
endothelium,ECs/HPMECs/HUVECs/MPVECs
Endothelium,ECs/HPMECs/HUVECs/MPVECs
endothelium cells,ECs/HPMECs/HUVECs/MPVECs
Endotoxemia,endotoxemia
endotoxemia,
endotoxic shock,
Endotoxin,endotoxin
endotoxin,
eNOS,eNOS
eNOS pathway,eNOS
eNOS uncoupling,eNOS
enrichment analysis,
Enzymology,
EOMA,
Epac,
Epac1,
EPCR,
epigenetic modifiers,
epigenetics,
epithelial cell,
Epithelial sodium channel,epithelial sodium channel
epithelial sodium channel,
epithelial-endothelial barrier,
epithelial-mesenchymal transition (EMT),
epithelium,
ER stress,ERS
ERK,ERK/ERK1/ERK2
ERK1/2,ERK/ERK1/ERK2
ERKs,ERK/ERK1/ERK2
ERM,
ERR alpha,
ERS,
erythropoietin,
E-selectin,
E-selectin-binding peptide,E-selectin-binding peptides
E-selectin-binding peptides,
eukaryotic elongation factor 2,
evans blue,
ex vivo ventilation perfusion,
EX527,
exchange factor directly activated by cyclic adenosine monophosphate,
exercise immunology,
exocytosis,
exosome,exosomes
Exosome,exosomes
exosomes,
Exosomes,exosomes
eXpress Permeability Test (XPerT),
expression profile,
EXT-1,
Extracellular histones,extracellular histones
extracellular histones,
extracellular matrix,
extracellular signal-regulated kinase,ERK/ERK1/ERK2
extracellular vesicle,extracellular vesicles (EVs)
extracellular vesicles,extracellular vesicles (EVs)
extracellular vesicles (EVs),
Extracellular vesicles (EVs),extracellular vesicles (EVs)
extracellular-regulated kinase,ERK/ERK1/ERK2
extravasated platelet aggregation (EPA),
Ezrin,
Ezrin protein,Ezrin
Ezrin/radixin/moesin,ERM
F-actin,
Factor associated suicide,
factor Xa,
FAK,Focal adhesion kinase (FAK)
Fas,
Fas ligand,Fas
Fasudil,fasudil
fasudil,
fat embolism syndrome,
Fatty acid synthase,
febrile-range hyperthermia,
ferroptosis,
Ferroptosis,ferroptosis
Ferulic acid,
FGF2,
FGF5,
FGFR1,
Fibrin,fibrin
fibrin,
fibrinogen,
fibrinolysis,
fibroblasts,
fibrosis,
FK-866,
flash photolysis,
flavin-containing monooxygenase,
flow cytometry,
Flow cytometry,flow cytometry
flowmotion,
Fluids,
focal adhesion,
focal adhesion complexes,
focal adhesion kinase,Focal adhesion kinase (FAK)
Focal adhesion kinase (FAK),
follistatin-like protein 1,
foot,
forkhead box O1 (FOXO1),FoxO/FoxO1
forkhead transcription factor O1,FoxO/FoxO1
FOXF1,
FoxM1,
FoxO,FoxO/FoxO1
Free radicals,
FTY720,
FTY720 S-phosphonate,
functional genomics,
fusion to endothelium,
G protein-couple receptors,
G(+)-toxins,
G2A receptor,
GAB1,
Gadolinium chloride,
Galectin,
Gap junction,gap junctions
gap junctions,
gasdermin D (GSDMD),
Gastric acid aspiration,
GEF-H1,
gene delivery,
Gene therapy,gene therapy
gene therapy,
genistein-3 '-sodium sulphonate,
Ghrelin,
Ginsenoside Rb1,
glucocorticoids,
glucose metabolism,
glycocalyx,endothelial glycocalyx (EG)
Glycocalyx,endothelial glycocalyx (EG)
Glycocalyx damage,
Glycolysis,
gp91phox-/-,
GPIIb/IIIa antagonists,
G-protein coupled receptor,
GPX4,
group V soluble phospholipase A(2) inflammation,
Growth arrest-specific gene 6 (Gas6),
Growth hormone-releasing hormone,
GSK2798745,
GSK-3beta,
GSTpi,
GTPase,
guanine nucleotide exchange factors,
gVPLA(2),
gypenosides,
H+ exchanger,
H2AX,
haloperidol,
hand,
hantavirus,
HCl,
HDAC5,
HDAC6,histone deacetylase 6
HDL dysfunction,
Heart,
heat shock protein,
heat shock protein 27,
Heat shock protein A12B,
heat stress,
Heat stress,heat stress
heatstroke,
Hedgehog signal pathway,
heme,
heme oxygenase-1,HO-1
Heme oxygenase-1,HO-1
Heme Oxygenase-1 (HO-1),HO-1
hemin,
hemocompatibility,
hemoglobin,
hemopexin,
hemorrhage,
hemorrhagic shock,
Hemorrhagic shock,hemorrhagic shock
hemostatic disorder,
heparanase,
Heparanase,heparanase
Heparanase (HPA),heparanase
heparin,
Heparin,heparin
heparinase,heparanase
heparin-binding protein (HBP),
Hepatic growth factor,
Hepatocyte growth factor,hepatocyte growth factor (HGF)
hepatocyte growth factor,hepatocyte growth factor (HGF)
hepatocyte growth factor (HGF),
heterogeneity,
heterogeneous nuclear ribonucleoprotein A1,
HIF1 alpha,HIF/HIF1 alpha
HIF-1 alpha,HIF/HIF1 alpha
HIF1A,HIF/HIF1 alpha
high mobility group 1,HMGB1
High mobility group box 1,HMGB1
high mobility group box 1,HMGB1
High mobility group box protein 1,HMGB1
high mobility group box-1,HMGB1
high throughput satellite,
hirudin,
Hirudin,hirudin
histone acetylation,
histone deacetylase,
histone deacetylase 6,
histone deacetylase 6 (HDAC6),histone deacetylase 6
histone deacetylase inhibitors,
histone deacetylases,histone deacetylase
Histones,histones
histones,
HLA,
HLA class I,HLA
HMGB1,
HMGB1/TLR-4,
HMVEC,ECs/HPMECs/HUVECs/MPVECs
HMVECs,ECs/HPMECs/HUVECs/MPVECs
HNA,
HO-1,
host defense peptides,host defense peptide
HOXB4,
HPA,heparanase
hpaec,ECs/HPMECs/HUVECs/MPVECs
HPMEC,ECs/HPMECs/HUVECs/MPVECs
HPMECs,ECs/HPMECs/HUVECs/MPVECs
HPMEC-ST1.6R,ECs/HPMECs/HUVECs/MPVECs
HPMVEC,ECs/HPMECs/HUVECs/MPVECs
HSF1,
Hsp27,
Hsp70,
HSP90 inhibition,
HSPA12A,
HSPA12B,
HTS,
human,
Human leukocyte antigen-A2,
Human lung,
Human lung epithelial cell,
human lung microvascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
Human lung microvascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
Human lung microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Human microvascular endothelial cells (HMEC),ECs/HPMECs/HUVECs/MPVECs
human neutrophil antigens,HNA
Human pulmonary microvascular,
Human pulmonary microvascular endothelial,ECs/HPMECs/HUVECs/MPVECs
human pulmonary microvascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
Human pulmonary microvascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
human pulmonary microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Human pulmonary microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
human pulmonary microvascular endothelial cells (HPMECs),ECs/HPMECs/HUVECs/MPVECs
human tissue factor pathway inhibitor (hTFPI),
human toxicology,
human umbilical cord mesenchymal stem cell,
HuR,
HUVEC,ECs/HPMECs/HUVECs/MPVECs
HUVECs,ECs/HPMECs/HUVECs/MPVECs
Hyaline membranes,
Hyaluronan,
Hyaluronic,
hydrochloric acid,
hydrogen peroxide,
Hydrogen sulfide,hydrogen sulfide
hydrogen sulfide,
Hydrogen-rich medium,
Hydrolyzing angiotensin II (AngII),
hypercapnia,
hypercapnic acidosis,
Hypercoagulopathy,
hyperinflation,
hyperoxia,
Hyperoxia,hyperoxia
hyperoxia induced acute lung injury,hyperoxia; ALI/ARDS
hyperoxic acute lung injury,hyperoxia; ALI/ARDS
hyperpermeability,
Hyper-permeability,hyperpermeability
hyperthermia,
hypertonic saline,
hypoxemia,
hypoxia,
Hypoxia inducible factor-1 alpha,HIF/HIF1 alpha
hypoxia-inducible factor,HIF/HIF1 alpha
hypoxia-inducible factor 1 alpha,HIF/HIF1 alpha
hypoxic pulmonary vasoconstriction,
ICAM1,ICAM-1
ICAM-1,
IFN gamma,
IFN regulatory factor 1,
IGFBP7,
IL-10,interleukin-10
IL-6,interleukin-6
IL-8,interleukin-8
image cytometry,
Imatinib,imatinib
imatinib,
immune complex,
Immune response,immune response
immune response,
Immunity,
Immunoassay,
immunohistochemistry,
Immunology and Microbiology Section,
Immunomodulation,
immunopositive cells,immunopositive cell
Immunothrombosis,immunothrombosis
immunothrombosis,
In silico study,
in vitro disease modeling,
in vivo lung perfusion,
inactive rhomboid-like protein 2,
Indinavir,
indirect acute lung injury,ALI/ARDS
indirect ARDS,ALI/ARDS
Indirect lung injury,ALI/ARDS
Induced pluripotent stem cell,induced pluripotent stem cell
induced pluripotent stem cell,
induced pluripotent stem cells,induced pluripotent stem cell
infection,
inflammasome,
Inflammasome activation,
Inflammation,
inflammation,Inflammation
inflammatory,Inflammation
inflammatory cytokines,
Inflammatory cytokines,inflammatory cytokines
inflammatory disease,Inflammation
inflammatory immune response,
Inflammatory injury,Inflammation
inflammatory mediator,
Inflammatory regulation,
inflammatory response,
Inflammatory response,inflammatory response
Inflammatory responses,inflammatory response
inflammatory signaling,
influenza,
Influenza,influenza
Influenza virus,influenza
inhalation,
inhalation toxicology/pulmonary toxicology,inhalation
injury,
innate immunity,
Innate immunity,innate immunity
integrin,integrins
integrin ? M,integrins
integrin alpha v beta 5,integrins
integrin beta 4,integrins
integrin? 2,integrins
Integrins,integrins
integrins,
intensive care,
Intensive care unit,
interaction,
Interaction,interaction
intercellular adhesion molecule-1,ICAM-1
intercellular communication networks,
interferon-gamma,
interleukin-1 beta,
Interleukin-17,
interleukin-6,
interleukin-6 (IL-6),interleukin-6
interleukin-8,
intermedin (IMD),
intersectin-1s,
Intestinal barrier,
intestinal injury,
intestinal ischemia,
intracellular sphingosine-1-phosphate,S1P/S1PR1/S1PR2/S1PR3
intravital microscopy,
IQGAP1,
iron chelators,
Iron complexes,
ischemia,ischemia/reperfusion
ischemia reperfusion injury,ischemia/reperfusion
ischemia/reperfusion,ischemia/reperfusion
Ischemia/reperfusion,ischemia/reperfusion
Ischemia-reperfusion,ischemia/reperfusion
ischemia-reperfusion injury,ischemia/reperfusion
ISM1,
isoflurane,
isolated perfused lungs,
Isoorientin,
Isopropyl 3-(3,
ITGA5,
JAK2,
JAK-STAT signaling pathway,
Janus Kinase 2,JAK2
Janus kinase-2,JAK2
Jingfang granules,
JNK,
JNK phosphorylation,JNK
JNK signalling,JNK
Junction protein,
junctional complexes,
Kaempferol,
Kawasaki disease shock syndrome,
KCa3.1,
Keap1,
Kidney,
kinases,
kindlin-2,
Kir2.1,
KLF7,
KRIT1,
Kruppel-like factor 2,KLF2
laboratory animals,
lamellipodia,
large conductance K+ channels,
large conductance potassium channels,
LBP,
LDHA,
Lentiviral vector,
leukocyte adhesion,
leukocyte antibodies,
leukocytes,
LIF,
Linagliptin,
LINC00839,
lipid mediator,
lipid signaling,
Lipids,
lipocalin-type prostaglandin D synthase,
lipopolysaccharide,LPS
Lipopolysaccharide,LPS
lipopolysaccharide (LPS),LPS
Lipopolysaccharide (LPS),LPS
lipopolysaccharide-induced lung injury,LPS; ALI/ARDS
Lipopolysaccharides,LPS
lipopolysaccharides,LPS
Lipopolysaccharides (LPS),LPS
lipoprotein,
liposome,
Liposomes,liposome
lipoxin A4,
Lipoxin A4,lipoxin A4
LipoxinA4,lipoxin A4
lipoxins,
lncRNA,
LncRNA H19,
LncRNA MALAT1,
lncRNA NORAD,
lncRNA OIP5-AS1,
lncRNA THRIL,
Local anesthetics,
long myosin light chain kinase,
Long non-coding RNA cardiac hypertrophy-related factor (lncRNA CHRF),
LPS,
LPS-induced acute lung injury,LPS; ALI/ARDS
LRR- and pyrin domain-containing protein 3 inflammasome,
LTB4 receptors,
L-type voltage-gated Ca2+ channels,
Lung,lung
lung,
lung adenocarcinoma transcript 1,
lung barrier function,
Lung cancer,lung cancer
lung cancer,
lung capillaries,
Lung development,
lung disease,
Lung disease,lung disease
Lung edema,lung edema
lung edema,
lung endothelial cells,ECs/HPMECs/HUVECs/MPVECs
lung endothelial permeability,permeability
lung endothelium,ECs/HPMECs/HUVECs/MPVECs
lung epithelial cells,
Lung fibrosis,
lung function,
Lung function,lung function
Lung imaging,
lung inflammation,
Lung inflammation,lung inflammation
lung inflammatory injury,
Lung injury,ALI/ARDS
lung injury,ALI/ARDS
Lung Injury,ALI/ARDS
lung ischemia reperfusion injury,ischemia/reperfusion
lung ischemia-reperfusion,ischemia/reperfusion
Lung mechanics,
lung microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Lung microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
lung oedema,
lung permeability,permeability
Lung protein permeability,permeability
Lung recovery,
lung resection,
lung targeting,
Lung targeting,lung targeting
lung transplant,lung transplantation
lung transplantation,
lung vascular endothelium,ECs/HPMECs/HUVECs/MPVECs
lung vascular injury,
Lung vascular permeability,permeability
lung vascular permeability,permeability
Luteolin,
Lycium barbarum polysaccharide,
lysophosphatidic acid,
lysophosphatidylcholine,
lysophospholipid,
Lysosome,
M2 macrophages,
macrophage,
Macrophage depletion,
macrophage polarization,
Macrophages,macrophage
macrophages,macrophage
malaria,
Malaria,malaria
MALAT1,
mammalian TOR (mTOR)/signal transducer and activator of transcription 3 (STAT-3) pathway,mTOR/STAT3 pathway
MAP kinase,MAPK
MAP Kinase Signaling System,MAPK
MAP kinases,MAPK
MAPK,
MAPKinase,MAPK
mapks,MAPK
MAPKs,MAPK
margination,
Mas receptor,
mast cell activation,
matory responses,
Matrigel,
matrix metalloproteinase,MMP/MMP3/MMP9
Matrix metalloproteinase 9,MMP/MMP3/MMP9
MCP-1,
MCTR1,
mechanical forces,
mechanical stress,
Mechanical ventilation,mechanical ventilation
mechanical ventilation,
mechanism,
mechanisms,mechanism
Mechanisms,mechanism
melatonin,
Membrane dynamics,
meningitis,
MERS-CoV,
